id,county,region,site_name,fieldwork_type,organisation,x_ref_map,y_ref_map,MajorSite,MinorSite,NonDomesticStructure,HEREvent,HERID,HERMonument,HERSource,SiteCode,OASIS
"20079","Dorset","South","Jordan Hill","Excavation","C D Drew","369892","082071","Religious ritual and funerary","RC temple","","","","MDO6665","","",""
"26033","Northamptonshire","Central Belt","Borough Hill, Daventry","Excavation","G. Baker","458768","262358","Religious ritual and funerary","funerary site|shrine|hillfort","","","","","","",""
"26034","Northamptonshire","Central Belt","Titchmarsh","Field survey","M. Curteis, D. Jackson and P. Markham","500659","279464","Nucleated settlement|Religious ritual and funerary","roadside settlement|shrine|funerary site","","","","","","",""
"26039","Northamptonshire","Central Belt","Bozeat","Excavation","E. Greenfield","489600","259900","Religious ritual and funerary|Rural settlement","farm|shrine","","","","","","",""
"26043","Northamptonshire","Central Belt","Cosgrove","Excavation","C. Green; H. Quinnell","479470","242120","Rural settlement|Religious ritual and funerary","farm|villa|RC temple","bathhouse","","","","","",""
"26066","Northamptonshire","Central Belt","Quinton","Excavation","Upper Nene Archaeological Society","477500","253500","Rural settlement|Religious ritual and funerary","farm|shrine","well|kiln","","","","","",""
"22011","Derbyshire","Central West","Poole's Cavern, Buxton","Excavation","Sheffield University","404900","372500","Industry|Rural settlement|Religious ritual and funerary","other metal production|shrine|cave","workshop","","","MDR252","","",""
"22057","Derbyshire","Central Belt","Derby Racecourse Park","Evaluation","Trent and Peak Archaeological Trust","436200","337280","Rural landscape|Communications|Religious ritual and funerary","road|funerary site|field system","","","","MDR4539","","",""
"21114","Somerset","Central Belt","Paulton","Excavation","A M ApSimon","364520","156650","Religious ritual and funerary","funerary site","","","","","","",""
"21116","Somerset","Central Belt","Kelston","Excavation","","370480","167900","Religious ritual and funerary","funerary site","","","","MBN1691","","",""
"21127","Somerset","South","Lamyatt Beacon","Excavation","","366950","136180","Religious ritual and funerary","RC temple","","","","23728","","",""
"18028","Cornwall","South-West","Penlee House, Tregony","Excavation","Cornwall County Council Historic Environment Service","192650","044880","Religious ritual and funerary","funerary site","corndrier","","","MCO56254","","",""
"18034","Cornwall","South-West","Trethurgy","Excavation","Cornwall Archaeological Society","203470","055630","Rural settlement|Rural landscape|Religious ritual and funerary","farm|field system|shrine","storage|workshop","","","MCO8763","","",""
"18035","Cornwall","South-West","Trethellan Farm, Newquay","Excavation","Cornwall Archaeological Unit","179800","061400","Religious ritual and funerary","funerary site","","","","","","",""
"18036","Cornwall","South-West","Scarcewater, Pennance","Excavation","Historic Environment Service, Cornwall County Council","192800","054000","Rural landscape|Religious ritual and funerary|Rural settlement","field system|funerary site|farm","","","","MCO45542","","",""
"18043","Cornwall","South-West","Nornour","Excavation","Department of Environment","094400","014800","Religious ritual and funerary","shrine","","","","MCO30898","","",""
"18057","Cornwall","South-West","Tremough, Penryn (Site 3)","Evaluation","Historic Environment Service, Cornwall County Council","176840","034450","Religious ritual and funerary","shrine","","","","","","",""
"19001","Devon","South-West","St Loyes, Topsham Road, Exeter","Excavation","AC Archaeology; Exeter Archaeology","293750","090800","Nucleated settlement|Rural settlement|Military|Religious ritual and funerary|Rural landscape","roadside settlement|farm|other military|funerary site|field system","workshop|well","","","MDV104585","","",""
"19014","Devon","South-West","Hookhills, Paignton","Excavation","Torquay Museum","288546","057792","Religious ritual and funerary","funerary site","","","","","","",""
"19019","Devon","South-West","Topsham School","Excavation","Exeter Archaeology","296320","088400","Military|Religious ritual and funerary","other military|funerary site","","","","MDV60422|MDV71475|MDV67998","","",""
"19020","Devon","South-West","Mount Batten, Plymouth","Excavation","Oxford University","248755","053193","Communications|Religious ritual and funerary","port|funerary site","","","","","","",""
"19022","Devon","South-West","Kenn","Excavation","Exeter Archaeology","293480","085540","Religious ritual and funerary","funerary site","","","","MDV66919","","",""
"26095","Northamptonshire","Central Belt","Stanwick","Excavation","English Heritage; D Neal","497200","271600","Rural settlement|Nucleated settlement|Religious ritual and funerary","farm|villa|roadside settlement|mill|shrine","corndrier|storage|well","","","","","",""
"26103","Northamptonshire","Central Belt","Higham Road, Burton Latimer","Excavation","Albion Archaeology","490383","274373","Rural settlement|Religious ritual and funerary","farm|funerary site|quarry","","","","","","","albionar1-151654|albionar1-91300|albionar1-91701"
"26113","Northamptonshire","Central Belt","Brigstock","Excavation","E Greenfield","496294","285926","Religious ritual and funerary","shrine","","","","","","",""
"26114","Northamptonshire","Central Belt","Collyweston","Excavation","G M Knocker","500806","300654","Religious ritual and funerary","shrine","","","","","","",""
"26115","Northamptonshire","Central Belt","Higham Ferrers OA","Excavation","Oxford Archaeology","495440","269210","Nucleated settlement|Religious ritual and funerary","roadside settlement|shrine|funerary site","well","","","","","",""
"26124","Northamptonshire","Central Belt","Ashton","Excavation","Middle Nene Archaeological Group","504801","288986","Nucleated settlement|Industry|Religious ritual and funerary","roadside settlement|iron production|pottery production|funerary site","workshop|well|kiln","","","","","",""
"27002","Rutland","Central Belt","Garley's Field, Ketton, Rutland","Excavation","Northamptonshire Archaeology","498700","306200","Religious ritual and funerary","funerary site","","","","","","",""
"27005","Rutland","Central Belt","Thistleton religious complex/town","Excavation","Greenfield Liddle ULAS","490910","317171","Nucleated settlement|Religious ritual and funerary|Industry","roadside settlement|RC temple|iron production","well|kiln","","","","","A2.2003","universi1-85393"
"27024","Rutland","Central Belt","Rutland Water Habitat Creation, Lagoon B","Excavation","Northamptonshire Archaeology","488100","308000","Religious ritual and funerary","shrine","","","","","","",""
"27025","Rutland","Central Belt","11 Church Street, Empingham","Watching brief","University of Leicester Archaeological Services","494900","308500","Religious ritual and funerary","funerary site","","","","","","",""
"28006","Cheshire","Central West","Stockton Heath, Warrington","Excavation","Earthworks Archaeology","361200","386190","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","well","","","MCH9163|MCH22401","","",""
"28014","Cheshire","Central West","Nantwich, Kingsley Fields","Excavation","University of Manchester Archaeological Unitt; Oxford Archaeology North","364600","352500","Nucleated settlement|Industry|Religious ritual and funerary","roadside settlement|salt production|funerary site","well|storage","ECH4503","","MCH22388|MCH22389","","RLL07","oxfordar1-90975"
"28016","Cheshire","Central West","Lindow Moss","Excavation","British Museum","382000","380500","Religious ritual and funerary","funerary site","","","","MCH6937","","",""
"28024","Cheshire","Central West","West Cheshire College, Handbridge, Chester","Evaluation","L-P Archaeology","340750","365170","Religious ritual and funerary|Rural landscape","funerary site|field system","","","","MCH18065|MCH18064","","",""
"29001","Herefordshire","Upland Wales and the Marches","Croft Ambrey, Aymestrey","Excavation","Woolhope Naturalists' Field Club","344350","266690","Rural settlement|Religious ritual and funerary","hillfort|shrine","","","","MHE2991","","",""
"29006","Herefordshire","Central Belt","The Prospect, Ross-on-Wye","Excavation","Border Archaeology","359660","224050","Military|Religious ritual and funerary","other military|shrine","","","","MHE23227","","",""
"29012","Herefordshire","Central West","New Weir, Swainshill","Excavation","Cotswold Archaeology","343674","241845","Rural settlement|Religious ritual and funerary","villa|shrine","","","","MHE203","","",""
"34037","Worcestershire","Central Belt","Wyre Piddle Bypass, HWCM 22308","Evaluation","County Archaeological Service, Hereford and Worcester County Council","397331","247786","Religious ritual and funerary","funerary site","","","HWCM 22308","","","",""
"34050","Worcestershire","Central Belt","St John's, Worcester","Excavation","Historic Environment and Archaeology Service, Worcestershire County Council","384150","254350","Rural settlement|Military|Religious ritual and funerary","farm|other military|funerary site","","","WCM 101591","","","",""
"34054","Worcestershire","Central Belt","Allesborough, Pershore","Geophysics","Archaeological Service, Worcestershire County Council","393230","246437","Religious ritual and funerary|Rural settlement|Rural landscape","farm|field system|shrine","","","","","","",""
"24071","Lincolnshire","Central Belt","West Marsh Road, Spalding","Watching brief","Archaeological Project Services","525490","323610","Religious ritual and funerary","funerary site","","","","","","",""
"24075","Lincolnshire","Central Belt","Navenby, Chapel Lane, Cremations","Watching brief","Pre-Construct Archaeology","499170","357570","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","","","",""
"24090","Lincolnshire","Central Belt","Sleaford, The Hoplands, (site 3)","Evaluation","Archaeological Project Services","507870","346240","Rural landscape|Nucleated settlement|Religious ritual and funerary","roadside settlement|field system|funerary site","well","","","","","",""
"24091","Lincolnshire","Central Belt","Navenby, Land off Chapel Lane","Watching brief","Pre-Construct Archaeology","499288","357467","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","well","","","","","",""
"24108","Lincolnshire","Central Belt","Tonge's Farm, Norton Disney Quarry, Norton Disney","Excavation","Lindsey Archaeological Services","489000","360000","Military|Religious ritual and funerary","funerary site|other military","","","","","","",""
"24126","Lincolnshire","Central Belt","Sleaford, Hoplands Business Centre, Boston Road","Evaluation","Archaeological Project Services","507760","346010","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","","","",""
"24130","Lincolnshire","North-East","Winteringham","Excavation","Inspectorate of Ancient Monuments; Humberside Archaeology Unit","494500","421400","Religious ritual and funerary|Nucleated settlement","roadside settlement|jetty/bridge|funerary site","","","2876","","","",""
"24167","Lincolnshire","North-East","Land off Horkstow Road, South Ferriby, North Lincolnshire","Evaluation","Pre-Construct Archaeology","498600","420630","Religious ritual and funerary|Rural settlement","farm|shrine","","","","","SLS2567","",""
"24169","Lincolnshire","North-East","Barrow on Humber Water Treatment Works","Excavation","Lindsey Archaeological Services","505982","420419","Rural landscape|Religious ritual and funerary","field system|funerary site","corndrier","","","","SLS3608","",""
"24177","Lincolnshire","North-East","Newport, Lincoln, Former Army Cadet HQ","Excavation","Archaeological Project Services","497600","372700","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","ELI11128","","","","",""
"24190","Lincolnshire","Central Belt","Pasture Lodge Farm, Long Bennington","Excavation","H. M. Wheeler; Trent and Peak Archaeological Trust","482900","347200","Rural settlement|Religious ritual and funerary","field system|farm|shrine","","","","","","",""
"25016","Nottinghamshire","North-East","Raymoth Lane, Worksop","Evaluation","Pre-Construct Archaeology","457750","381500","Rural settlement|Religious ritual and funerary","farm|funerary site","kiln","","","","","",""
"25026","Nottinghamshire","Central Belt","Redhill, Ratcliffe on Soar, Marina","Evaluation","Birmingham Archaeology","449286","329710","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site|field system|other metal production","","","","","","",""
"25035","Nottinghamshire","Central Belt","Redhill, Ratcliffe on Soar","Excavation","Redhill Research Group; E. Greenfield","449266","330465","Nucleated settlement|Religious ritual and funerary","roadside settlement|RC temple|mansio","bathhouse","","","","","",""
"25048","Nottinghamshire","Central Belt","Staunton","Excavation","M Todd","480300","344700","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","","","",""
"31011","Staffordshire","Central West","Ingestre Park","Watching brief","Network Archaeology","397177","325909","Religious ritual and funerary","funerary site","","","","MST4646","","",""
"31029","Staffordshire","Central West","Ryknield Street, Wall","Excavation","Oxford Wessex Archaeology","410570","305970","Religious ritual and funerary","funerary site|road","","","","MST22116","","",""
"32006","Warwickshire","Central West","Grimstock Hill, Coleshill","Excavation","Birmingham University and others","419486","290476","Religious ritual and funerary|Rural settlement","RC temple|shrine|farm","well|bathhouse|storage","","","MWA4433|MWA6232","","",""
"17093","Wiltshire","Central Belt","Birchanger Farm, Bratton","Excavation","Wessex Archaeology","389350","151900","Religious ritual and funerary","funerary site","","","","","","",""
"18015","Cornwall","South-West","Harlyn Bay (funerary site)","Excavation","Cornwall Committee for Rescue Archaeology","187780","075290","Religious ritual and funerary","funerary site","","","","MCO25835","","",""
"21115","Somerset","Central Belt","Batheaston","Excavation","","378580","167810","Religious ritual and funerary","funerary site","","","","MBN1736","","",""
"36004","North Yorkshire","North-East","Potter Brompton","Excavation","M Johnson","497734","476804","Religious ritual and funerary","funerary site","","","","","","",""
"36021","North Yorkshire","North-East","Bainesse (Site 46), Catterick","Excavation","English Heritage (2002); Northern Archaeological Associates (2006)","423980","497320","Nucleated settlement|Religious ritual and funerary","roadside settlement|field system|road|funerary site","workshop","","","","","",""
"36026","North Yorkshire","North-East","Newbridge Quarry, Pickering","Excavation","Archaeological Services WYAS","479750","486650","Rural settlement|Religious ritual and funerary","farm|field system|quarry|funerary site","corndrier|storage","","","","","",""
"36042","North Yorkshire","North","Victoria Cave, nr Settle","Excavation","Settle Cave Exploration Committee","383840","465050","Religious ritual and funerary|Industry","cave|shrine|other industry","","","","","","",""
"36060","North Yorkshire","North-East","Garden Lane, Sherburn in Elmet","Excavation","MAP Archaeological Consultancy","448950","433300","Religious ritual and funerary","funerary site","","","","","","",""
"36065","North Yorkshire","North","Land at High Street, Gargrave","Excavation","Archaeological Services WYAS","393250","454250","Religious ritual and funerary","funerary site","","ENY9127","","","","","archaeol11-11666"
"36087","North Yorkshire","North-East","West Heslerton shrine","Excavation","Landscape Research Centre","491650","475700","Religious ritual and funerary","shrine|pottery production","well|kiln","","","","","",""
"37014","South Yorkshire","North-East","River Idle Washlands, Bawtry","Excavation","Archaeological Services WYAS","465650","393350","Religious ritual and funerary","shrine","","","","","","",""
"32007","Warwickshire","Central Belt","Tiddington","Excavation","Warwickshire Museum; W J Fieldhouse and T May","421587","255415","Rural settlement|Nucleated settlement|Religious ritual and funerary|Industry|Rural landscape","roadside settlement|funerary site|farm|pottery production|tile production|iron production|field system","well|corndrier|kiln","","","MWA4469","","",""
"32012","Warwickshire","Central Belt","Salford Priors, Areas C1, C2 and C3","Excavation","Warwickshire County Council","408000","251900","Rural settlement|Religious ritual and funerary","farm|villa|shrine","corndrier|bathhouse|storage","","","MWA1499","","",""
"32014","Warwickshire","Central Belt","Stretton-on-Fosse, Site 10","Excavation","J M Morris","422060","238100","Religious ritual and funerary","funerary site","","","","MWA3004","","",""
"32015","Warwickshire","Central Belt","Stretton-on-Fosse, Sites 2 and 9","Excavation","W J Ford","421677","238254","Religious ritual and funerary","funerary site","","","","MWA1833","","",""
"32018","Warwickshire","Central Belt","Weldford-on-Avon","Excavation","Warwickshire Museum","412200","251300","Religious ritual and funerary|Rural settlement","farm|funerary site","","","","MWA4708","","",""
"32024","Warwickshire","Central Belt","Tiddington, 77 and 79 Tiddington Road","Evaluation","Warwickshire Museum Field Services","421300","255370","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","EWA9298","","MWA1014","","TV09",""
"32025","Warwickshire","Central Belt","Wasperton","Excavation","Warwickshire Museum","426216","258200","Religious ritual and funerary|Rural settlement|Rural landscape","funerary site|farm|field system","corndrier|well|SFB","","","MWA5502","","",""
"32038","Warwickshire","Central Belt","Coton Park, Rugby","Excavation","Northamptonshire Archaeology","451700","278800","Rural settlement|Religious ritual and funerary|Rural landscape","farm|shrine|field system","","EWA7454","","MWA10314","","",""
"32048","Warwickshire","Central Belt","Stretton-on-Fosse, Site 3","Watching brief","P. J. Gardner","421860","238240","Religious ritual and funerary","funerary site","","","","MWA5360","","",""
"32049","Warwickshire","Central Belt","Stretton-on-Fosse, Site 4","Watching brief","P. J. Gardner","421500","238200","Rural settlement|Religious ritual and funerary","farm|funerary site","workshop","","","MWA1838","","",""
"32063","Warwickshire","Central Belt","Tiddington, Reading Trust Site 1982","Excavation","Warwickshire Museum","421680","255650","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","well|corndrier|kiln","","","MWA4467","","",""
"34008","Worcestershire","Central Belt","Late Iron Age Burial, Old Yew Hill Wood, Church Lench","Excavation","Worcestershire Historic Environment and Archaeology Service","402340","252350","Religious ritual and funerary","funerary site","","","","","","",""
"34015","Worcestershire","Central Belt","Dodderhill, Droitwich","Evaluation","English Heritage","390220","263660","Industry|Military|Religious ritual and funerary","salt production|fort|funerary site","","","","","","",""
"35006","East Riding","North-East","Walkington Wold","Excavation","East Riding Archaeological Society","496200","435700","Religious ritual and funerary","shrine","","","","","","",""
"35009","East Riding","North-East","Hayton, Glen Garth","Excavation","University of Cambridge/East Riding Archaeological Society","482057","445812","Nucleated settlement|Religious ritual and funerary|Rural settlement","roadside settlement|funerary site|farm","kiln","","","","","",""
"35059","East Riding","North-East","Sewerby Cottage Farm, Bridlington","Excavation","On-Site Archaeology","518486","469212","Rural settlement|Religious ritual and funerary","farm|field system|funerary site","corndrier|SFB","","","","","",""
"29024","Herefordshire","Central Belt","Dewsall Court","Excavation","Archenfield Archaeology ltd","348650","233390","Religious ritual and funerary","funerary site","","","MHE13722|31920","","","AA_30","archenfi2-31303"
"29025","Herefordshire","Central West","Ash Grove Quarry, Marden","Excavation","Herefordshire Archaeology","353750","249600","Religious ritual and funerary","funerary site","","","6544","MHE2599","","",""
"30009","Shropshire","Upland Wales and the Marches","Barrow Street, Much Wenlock","Excavation","","362370","299900","Religious ritual and funerary","funerary site","well","","","MSA2468","","",""
"42022","Lancashire","North","Penny Street, Lancaster","Excavation","Oxford Archaeology North; Lancaster University Archaeological Unit","347730","461580","Religious ritual and funerary","funerary site","","ELA703","","","","",""
"10068","Surrey","South","Foxholes, Aldbury","Excavation","","505600","145800","Religious ritual and funerary","funerary site","","","","SHHER_366","","",""
"11005","West Sussex","South","Westhampnett, Area 3","Excavation","Wessex Archaeology","489344","106570","Religious ritual and funerary","shrine","well","","","MWS4089","","",""
"12041","Berkshire","South","The New House, Combe","Excavation","Berkshire Archaeological Services","437206","160998","Religious ritual and funerary","funerary site","","","","MWB16291","","",""
"14011","Gloucestershire","Central Belt","Bishop's Cleeve, Gilder's Paddock/Home Farm/Church Road","Excavation","Gloucestershire County Council Archaeology Service; Cotswold Archaeology; Wessex Archaeology","395896","227730","Rural settlement|Religious ritual and funerary|Nucleated settlement","farm|funerary site|other metal production|quarry|village","workshop","","","","","",""
"15134","Hampshire","South","Sunnybank, Itchen Abbas","Evaluation","Wessex Archaeology","453640","132920","Religious ritual and funerary","funerary site","","","","64243","","",""
"43031","Glamorgan-Gwent","Central Belt","Castle Tump, Whitwell Brake, Caerwent","Excavation","Operation Nightingale (MoD) & University of Leicester","347530","191150","Rural settlement|Religious ritual and funerary","villa|shrine","","","","GGAT01034g","","",""
"43035","Glamorgan-Gwent","Central Belt","Park Court, Abergavenny","Excavation","Glamorgan-Gwent Archaeological Trust","330260","214740","Religious ritual and funerary","funerary site","","","","GGAT04765g","","",""
"43045","Glamorgan-Gwent","Central Belt","Abernant Farm, Kemeys Inferior","Excavation","","337130","191750","Religious ritual and funerary","funerary site","","","","GGAT05664g","","",""
"43048","Glamorgan-Gwent","Central Belt","The Cattle Market Site, Chepstow","Excavation","Cambrian Archaeology","353600","193900","Religious ritual and funerary","funerary site","","","","","","",""
"43050","Glamorgan-Gwent","Upland Wales and the Marches","Ilston, Swansea","Excavation","W F Grimes","255480","190560","Religious ritual and funerary","funerary site","","","","GGAT02779w|GGAT03173w","","",""
"43051","Glamorgan-Gwent","Central Belt","Liswerry, nr. Newport","Excavation","","334060","187620","Religious ritual and funerary","funerary site","","","","","","",""
"43052","Glamorgan-Gwent","Central Belt","Llanwern, Nr Newport","Excavation","","336000","188000","Religious ritual and funerary","funerary site","","","","GGAT05814g","","",""
"43053","Glamorgan-Gwent","Central Belt","Llangan","Excavation","","296970","177580","Religious ritual and funerary","funerary site","","","","GGAT00206s","","",""
"43054","Glamorgan-Gwent","Central Belt","Llandough","Excavation","Cotswold Archaeology","316810","173310","Religious ritual and funerary","funerary site","","","","GGAT03586s","","",""
"43055","Glamorgan-Gwent","Central Belt","Pentwyn Triley, Llantilio","Excavation","Glamorgan-Gwent Archaeological Trust","331000","217000","Religious ritual and funerary","funerary site","","","","","","",""
"43059","Glamorgan-Gwent","Central Belt","Dewstow Quarry, Rogiet","Excavation","Clifton Antiquarian Club","345750","188600","Religious ritual and funerary","funerary site","","","","GGAT00498g","","",""
"43060","Glamorgan-Gwent","Central Belt","Sully Moor","Excavation","","314170","168250","Religious ritual and funerary","funerary site","","","","","","",""
"43065","Glamorgan-Gwent","Central Belt","Oak Crest, Undy","Excavation","Glamorgan-Gwent Archaeological Trust","343500","187200","Religious ritual and funerary","funerary site","","","","GGAT05669g","","",""
"44003","Dyfed","Upland Wales and the Marches","Plas Gogerddan","","","262640","283510","Religious ritual and funerary","funerary site","","","","","","",""
"44027","Dyfed","Upland Wales and the Marches","Johnstown, Carmarthen","Excavation","Carmarthen Museum Service","239600","219000","Religious ritual and funerary","funerary site","","","","","","",""
"44029","Dyfed","Upland Wales and the Marches","Potter's Cave, Caldey Island","Excavation","","214360","197070","Religious ritual and funerary","funerary site","","","","","","",""
"44030","Dyfed","Upland Wales and the Marches","Parc Careg y Lluniau, Penbryn","Excavation","","228900","251370","Religious ritual and funerary","funerary site","","","","DAT2097","","",""
"44032","Dyfed","Upland Wales and the Marches","Land East of Vaynor Farm Llanddowror","Excavation","Cotswold Archaeology","224700","214200","Rural settlement|Religious ritual and funerary","farm|shrine","storage","","","","","",""
"37035","South Yorkshire","North-East","Topham Farm, Sykehouse","Excavation","Archaeological Services WYAS","462166","417127","Rural settlement|Religious ritual and funerary","farm|shrine","","","","","","",""
"37036","South Yorkshire","North-East","Lutterworth Drive, Adwick-Le-Street","Excavation","Doncaster Museum","453100","408700","Religious ritual and funerary","funerary site","","","","","","",""
"37040","South Yorkshire","North-East","Doncaster, Waterdale","Excavation","ArcHeritage","457681","402950","Nucleated settlement|Religious ritual and funerary","funerary site|vicus","","","","","","","archerit1-85885"
"37043","South Yorkshire","North-East","Doncaster, 53/54 Hallgate","Excavation","South Yorkshire Archaeology Field and Research Unit","457704","403190","Religious ritual and funerary|Nucleated settlement","funerary site|vicus","","","","","","",""
"38011","West Yorkshire","North-East","Ferry Fryston, A1(M), Site D","Excavation","Oxford Archaeology North","446997","425596","Religious ritual and funerary","shrine","","","","","","",""
"38028","West Yorkshire","Central West","Elmete Caravan Park, Roundhay","Evaluation","Archaeological Services WYAS","433900","437300","Religious ritual and funerary","shrine","","","","","","",""
"38043","West Yorkshire","Central West","Rothwell Haigh, Leeds","Excavation","West Yorkshire County Archaeology Unit","435301","429756","Religious ritual and funerary","shrine","well","","7461|10874","","","RHW77","archaeol11-92831"
"39005","Durham","North","Lanchester vicus cemetery","Excavation","Lanchester Society of Antiquaries","415600","546600","Nucleated settlement|Military|Religious ritual and funerary","funerary site|vicus","","","D2179","","","",""
"39007","Durham","North-East","Catcote, Hartlepool","Excavation","University of Durham; Cleveland County Archaeological section","449000","531500","Rural settlement|Religious ritual and funerary","farm|funerary site","","","27142","","","",""
"39030","Durham","North","Scargill Moor, Bowes","Excavation","I A Richmond & W P Wright","399800","510400","Religious ritual and funerary","shrine|other military","","","D2511","","","",""
"39033","Durham","North-East","Lancaster Road, Hartlepool","Excavation","Cleveland County Archaeological Section","450800","533750","Religious ritual and funerary","funerary site","","","","","","",""
"40017","Northumberland","North","Lanton Quarry, Milfield","Excavation","Archaeological Research Services Ltd","395374","631151","Religious ritual and funerary","funerary site","","","24396","","","",""
"40030","Northumberland","North","Yardhope","Excavation","Field Research Group of the Society of Antiquaries of Newcastle upon Tyne","393806","600511","Religious ritual and funerary","shrine","","","1190","","","",""
"41022","Cumbria","North","Brough under Stainmore","Excavation","","379222","514080","Military|Nucleated settlement|Religious ritual and funerary","fort|vicus|funerary site","bathhouse","","","","","",""
"41026","Cumbria","North","Skye Road, Wigton","Watching brief","Carlisle Archaeology","326050","547381","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","","","",""
"41031","Cumbria","North","Land of Netherall Road, Maryport, cremation cemetery","Evaluation","CFA Archaeology","304187","537070","Religious ritual and funerary","funerary site","","","","","","",""
"41035","Cumbria","North","The Dog Hole, Haverbrack","Excavation","D Benson and K Bland","348260","480200","Rural settlement|Religious ritual and funerary","cave|shrine","","","","","","",""
"41042","Cumbria","North","Beckfoot","Excavation","","308661","548470","Religious ritual and funerary","funerary site","","","","","","",""
"41043","Cumbria","North","Maryport","Excavation","Timescape Surveys; Cumberland and Westmorland Antiquarian and Archaeological Society; J Robinson; R.G. Collingwood","304140","537450","Nucleated settlement|Military|Religious ritual and funerary|Communications","fort|vicus|RC temple|mansio","storage|well","","","","","",""
"41046","Cumbria","North","Brougham cemetery","Excavation","","354500","529000","Religious ritual and funerary|Military","other military|funerary site","","","","","","",""
"41048","Cumbria","North","Low Borrowbridge","Excavation","Lancaster University Archaeological Unit","361083","500933","Religious ritual and funerary","funerary site","","","","","","",""
"41050","Cumbria","North","Brougham (OA North)","Excavation","Oxford Archaeology North","353960","528850","Nucleated settlement|Military|Rural landscape|Religious ritual and funerary","vicus|fort|field system|funerary site","well","","","","","HP07","oxfordar2-186017"
"42004","Merseyside","Central West","'Leasowe Man'","Excavation","Sir Edward Cust","326602","392086","Religious ritual and funerary","funerary site","","","","MME689","","",""
"42005","Greater Manchester","Central West","'Worsley Man', Worsley Moss","Excavation","","371088","399297","Religious ritual and funerary","funerary site","","","","","","",""
"42006","Lancashire","North","Dog Holes Cave, Warton Crag","Excavation","J.W. Jackson","348330","473030","Rural settlement|Religious ritual and funerary|Industry","cave|shrine|iron production","","","","","","",""
"42014","Lancashire","North","Arla Foods Depot, Aldcliffe Road, Lancaster","Excavation","University of Manchester Archaeological Unit","347690","461290","Religious ritual and funerary","funerary site","","ELA1328","","","","",""
"90040","Bath and Northeast Somerset","Central Belt","Bath, Hot Bath Spring","Evaluation","Bath Archaeological Trust; Oxford Archaeology","374948","164654","Religious ritual and funerary|Nucleated settlement","defended small town|shrine","","","","","","",""
"90044","Bath and Northeast Somerset","Central Belt","Bath, Arlington Court","Watching brief","City of Bath Excavation Committee, Bath and Camerton Archaeological Society","375014","164722","Religious ritual and funerary|Nucleated settlement","RC temple|defended small town","","","","","","",""
"90047","Bath and Northeast Somerset","Central Belt","Bath, Sion Hill","Excavation","Various","374323","166209","Nucleated settlement|Religious ritual and funerary","funerary site|defended small town","","","","","","",""
"90051","Bath and Northeast Somerset","Central Belt","Bath, The Temple of Sulis Minerva (precinct)","Excavation","Bath Archaeological Trust. Institute of Archaeology of the University of Oxford.","375040","164710","Religious ritual and funerary|Nucleated settlement","defended small town|RC temple","bathhouse","","","","","",""
"90052","Bath and Northeast Somerset","Central Belt","Bath, Kings Bath's","Excavation","Bath Archaeological Trust; Institute of Archaeology at the University of Oxford.","375057","164724","Religious ritual and funerary|Nucleated settlement","defended small town|shrine","bathhouse","","","","","",""
"90054","Bath and Northeast Somerset","Central Belt","Bath, Bath Street & Beau Street","Excavation","Bath Archaeological Trust","374985","164718","Religious ritual and funerary|Nucleated settlement","defended small town","","","","","","",""
"90061","Lincolnshire","Central Belt","Ancaster, cemetery","Excavation","David Wilson?","498300","343600","Nucleated settlement|Religious ritual and funerary","funerary site|defended small town","","","","","","",""
"90070","Oxfordshire","Central Belt","Dorchester-on-Thames, Dyke Hills burials","Excavation","Paul Booth, 'Discovering Dorchester' project","457570","193625","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90071","Oxfordshire","Central Belt","Dorchester-on-Thames, Queensford Farm","Excavation","Upper Thames Archaeological Committee; Oxford City and County Museum; Oxford Archaeological Unit.","458200","194900","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90072","Oxfordshire","Central Belt","Dorchester-on-Thames, Church Piece","Excavation","M. Harman","459000","194602","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90076","Cambridgeshire","Central Belt","Cambridge, Jesus Lane cemetery","Excavation","Cambridge Archaeological Unit","545135","258821","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90081","Cambridgeshire","Central Belt","Cambridge, Castle Hill","Excavation","Cambridge Antiquarian Society","544410","259271","Military|Religious ritual and funerary|Nucleated settlement","defended small town|fort|shrine|iron production","latrine pit|well","","","","","",""
"90103","Cambridgeshire","Central Belt","Godmanchester, St Ann's Lane","Excavation","HJM Green, Department of the Environment","524656","270515","Nucleated settlement|Religious ritual and funerary","defended small town","workshop","","","","","",""
